oa_id,doi,title,year,frame,venue,stratum,N_h,n_h,weight,cited
W3016717485,10.1007/s10664-020-09814-x,Using machine learning to assist with the selection of security controls during security assessment,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3022806883,10.48550/arxiv.2005.01194,An empirical comparison of deep-neural-network architectures for next activity prediction using context-enriched process event logs,2020,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3024356476,10.1007/s10664-020-09878-9,On the time-based conclusion stability of cross-project defect prediction models,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3025560490,10.1016/j.is.2020.101557,DMAKit: A user-friendly web platform for bringing state-of-the-art data analysis techniques to non-specific users,2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W3025918553,10.1016/j.dss.2020.113320,Uplift Modeling for preventing student dropout in higher education,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3028200206,10.1007/s10664-020-09837-4,Do code review measures explain the incidence of post-release defects?,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3029464237,10.1016/j.dss.2020.113325,Predicting student dropout in subscription-based online learning environments: The beneficial impact of the logit leaf model,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3034076354,10.1007/978-3-030-65310-1_31,Exploring Interpretability for Predictive Process Analytics,2020,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,
W3042043441,10.1186/s12911-020-1111-6,Using predictive process monitoring to assist thrombolytic therapy decision-making for ischemic stroke patients,2020,B,BMC Medical Informatics and Decision Making,v1:BMC Medical Informatics and Decision Making,2,2,1.0,
W3042580419,10.1016/j.is.2020.101635,Cause vs. effect in context-sensitive prediction of business process instances,2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W3043662032,10.1007/s10664-020-09834-7,Standing on shoulders or feet? An extended study on the usage of the MSR data papers,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3043882153,10.1007/s10664-021-09945-9,Predictors of well-being and productivity among software professionals during the COVID-19 pandemic – a longitudinal study,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3044618224,10.1016/j.is.2020.101604,Fragments of bag relational algebra: Expressiveness and certain answers,2020,A,Information Systems,v1:Information Systems,82,82,1.0,
W3045116697,10.1016/j.dss.2020.113366,Three-stage reject inference learning framework for credit scoring using unsupervised transfer learning and three-way decision theory,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3046226113,10.11606/d.100.2020.tde-02122019-150538,Tratamento do impacto de casos >i /i< em predição de tempo de resolução usando mineração de processos com múltiplos atributos,2020,B,,v1:nan,16,16,1.0,
W3046672418,10.1007/s10664-020-09868-x,On the need of preserving order of data when validating within-project defect classifiers,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3047535465,10.1007/s10664-020-09854-3,Wait for it: identifying “On-Hold” self-admitted technical debt,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3048310814,10.1016/j.dss.2021.113511,A technique for determining relevance scores of process activities using graph-based neural networks,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3049497371,10.1007/s10664-020-09886-9,How does code readability change during software evolution?,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3051849431,10.1007/s10664-020-09856-1,Data-driven software design with Constraint Oriented Multi-variate Bandit Optimization (COMBO),2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3079499560,10.1007/s10664-020-09861-4,On the assessment of software defect prediction models via ROC curves,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3080268723,10.48550/arxiv.2008.10748,"An empirical investigation of different classifiers, encoding and ensemble schemes for next event prediction using business process event logs",2020,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3080457607,10.1007/s10664-021-10068-4,Revisiting process versus product metrics: a large scale analysis,2022,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3081858831,10.1016/j.dss.2020.113398,Improving healthcare access management by predicting patient no-show behaviour,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3083147251,10.1007/978-3-030-58638-6_9,Explainability in Predictive Process Monitoring: When Understanding Helps Improving,2020,B,Lecture notes in business information processing,v1:Lecture notes in business information processing,33,33,1.0,
W3084167926,10.3390/data5030082,Extraction of Missing Tendency Using Decision Tree Learning in Business Process Event Log,2020,B,Data,v1:Data,1,1,1.0,
W3084301791,10.1007/s10664-020-09864-1,Automated demarcation of requirements in textual specifications: a machine learning-based approach,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3084420001,10.1016/j.dss.2020.113401,Forecasting demand profiles of new products,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3086800606,10.1007/s10664-020-09885-w,On the feasibility of automated prediction of bug and non-bug issues,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3087610690,10.1016/j.dss.2020.113404,Optimizing microtask assignment on crowdsourcing platforms using Markov chain Monte Carlo,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3087720408,10.1007/s10664-020-09881-0,Testing machine learning based systems: a systematic mapping,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3089306244,10.1109/tsc.2021.3139807,Deep Learning for Predictive Business Process Monitoring: Review and Benchmark,2021,B,IEEE Transactions on Services Computing,v1:IEEE Transactions on Services Computing,5,5,1.0,
W3092305337,10.1109/access.2020.3029323,ORANGE: Outcome-Oriented Predictive Process Monitoring Based on Image Encoding and CNNs,2020,B,IEEE Access,v1:IEEE Access,10,10,1.0,
W3094428095,10.1109/access.2020.3030809,Prediction of Incompliance With Business Goals With Business-Related Data and Context Data,2020,B,IEEE Access,v1:IEEE Access,10,10,1.0,
W3094439486,10.1007/s10664-021-09976-2,Topic recommendation for software repositories using multi-label classification algorithms,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3096397854,10.1016/j.dss.2020.113433,Automated mortgage origination delay detection from textual conversations,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3096808766,10.1016/j.dss.2020.113429,Bankruptcy prediction for SMEs using transactional data and two-stage multiobjective feature selection,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3097004242,10.48550/arxiv.2011.02819,Predictive Process Model Monitoring using Recurrent Neural Networks,2020,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3097594944,10.1016/j.dss.2020.113446,Predicting donation behavior: Acquisition modeling in the nonprofit sector using Facebook data,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3099273321,10.1016/j.is.2021.101876,The GDPR enforcement fines at glance,2021,A,Information Systems,v1:Information Systems,82,82,1.0,
W3109365691,10.1016/j.dss.2020.113452,A multivariate approach for multi-step demand forecasting in assembly industries: Empirical evidence from an automotive supply chain,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3110739847,10.48550/arxiv.2012.04218,Evaluating Explainable Methods for Predictive Process Analytics: A Functionally-Grounded Approach,2020,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3111638657,10.1016/j.dss.2020.113470,Applying data driven decision making to rank vocational and educational training programs with TOPSIS,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3111802031,10.1007/978-3-030-86797-3_47,A Framework of Business Process Monitoring and Prediction Techniques,2021,B,Lecture notes in information systems and organisation,v1:Lecture notes in information systems and organisation,1,1,1.0,
W3118316820,10.1016/j.dss.2021.113492,Data engineering for fraud detection,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3118496513,10.1016/j.dss.2021.113494,Process data properties matter: Introducing gated convolutional neural networks (GCNN) and key-value-predict attention networks (KVP) for next event prediction with deep learning,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3119686444,10.1007/s10664-021-10024-2,A pragmatic approach for hyper-parameter tuning in search-based test case generation,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3120665120,10.1016/j.dss.2020.113490,A strategic decision-making architecture toward hybrid teams for dynamic competitive problems,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3120925457,10.1007/s10664-020-09915-7,Empirical assessment of generating adversarial configurations for software product lines,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3121736031,10.1007/978-3-030-66498-5_24,Process Outcome Prediction: CNN vs. LSTM (with Attention),2020,B,Lecture notes in business information processing,v1:Lecture notes in business information processing,33,33,1.0,
W3122183613,10.1007/s10462-021-09960-8,A systematic literature review on state-of-the-art deep learning methods for process prediction,2021,B,Artificial Intelligence Review,v1:Artificial Intelligence Review,2,2,1.0,
W3123086775,10.1007/s10664-021-09982-4,Can Offline Testing of Deep Neural Networks Replace Their Online Testing?,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3125685732,10.22456/2175-2745.106828,Business Process Models in the Context of Predictive Process Monitoring,2021,B,Revista de Informática Teórica e Aplicada,v1:Revista de Informática Teórica e Aplicada,1,1,1.0,
W3128951365,10.1016/j.dss.2021.113514,Making green power purchase agreements more predictable and reliable for companies,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3129148558,10.1007/s10664-020-09898-5,Automatically recommending components for issue reports using deep learning,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3129927920,10.1007/s10664-020-09891-y,The Relation of Test-Related Factors to Software Quality: A Case Study on Apache Systems,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3130571284,10.1016/j.dss.2021.113523,Spline-rule ensemble classifiers with structured sparsity regularization for interpretable customer churn modeling,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3131470102,10.1016/j.im.2021.103445,Calling out fake online reviews through robust epistemic belief,2021,A,Information & Management,v1:Information & Management,20,20,1.0,
W3133466007,10.1016/j.dss.2021.113517,Box office sales and social media: A cross-platform comparison of predictive ability and mechanisms,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3135058693,10.1016/j.dss.2021.113539,Predicting employee absenteeism for cost effective interventions,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3135733620,10.1016/j.dss.2021.113541,A competing risks model based on latent Dirichlet Allocation for predicting churn reasons,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3140537353,10.48550/arxiv.2104.00721,ProcessTransformer: Predictive Business Process Monitoring with Transformer Network,2021,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3140856385,10.1007/978-3-030-85347-1_13,Evaluating Predictive Business Process Monitoring Approaches on Small Event Logs,2021,B,Communications in computer and information science,v1:Communications in computer and information science,1,1,1.0,
W3142154623,10.1007/s10664-021-09968-2,Embedding API dependency graph for neural code generation,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3143362692,10.1016/j.is.2021.101766,"Scalable generalized median graph estimation and its manifold use in bioinformatics, clustering, classification, and indexing",2021,A,Information Systems,v1:Information Systems,82,82,1.0,
W3144055537,10.48550/arxiv.2103.16654,A Systematic Literature Review on Process-Aware Recommender Systems,2021,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3147362533,10.1007/s10664-021-09944-w,Revisiting the VCCFinder approach for the identification of vulnerability-contributing commits,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3149713727,10.1016/j.dss.2021.113556,Simpler is better: Lifting interpretability-performance trade-off via automated feature engineering,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3149836688,10.1007/s10664-023-10299-7,Does the first response matter for future contributions? A study of first contributions,2023,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3150137677,10.1007/s10664-022-10224-4,Exploring the relationship between performance metrics and cost saving potential of defect prediction models,2022,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3153009645,10.1016/j.dss.2021.113635,Visual analytics of set data for knowledge discovery and member selection support,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3155271895,10.1016/j.is.2021.101787,Reuse-centric k -means configuration,2021,A,Information Systems,v1:Information Systems,82,82,1.0,
W3155749121,10.1016/j.dss.2021.113577,Do President Trump's tweets affect financial markets?,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3157341372,10.1007/s10664-021-09977-1,Individual differences limit predicting well-being and productivity using software repositories: a longitudinal industrial study,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3157562347,10.1007/s10664-020-09926-4,The nature of build changes,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3158436487,10.1007/978-3-030-89022-3_5,Process Model Forecasting Using Time Series Analysis of Event Sequence Data,2021,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,
W3158906501,10.1016/j.dss.2021.113584,A prescriptive analytics framework for efficient E-commerce order delivery,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3159006294,10.21203/rs.3.rs-260970/v1,Predicting Outcomes of Business Process Executions Based on LSTM Neural Networks and Attention Mechanism,2021,B,Research Square,v1:Research Square,2,2,1.0,
W3159353569,10.1016/j.dss.2021.113579,Session stitching using sequence fingerprinting for web page visits,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3161656032,10.1109/icpm53251.2021.9576853,Prescriptive Process Monitoring for Cost-Aware Cycle Time Reduction,2021,B,,v1:nan,16,16,1.0,
W3164396702,10.1016/j.is.2021.101807,The role of local dimensionality measures in benchmarking nearest neighbor search,2021,A,Information Systems,v1:Information Systems,82,82,1.0,
W3165327389,10.1007/s10664-021-09955-7,Lessons Learnt on Reproducibility in Machine Learning Based Android Malware Detection,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3166557239,10.1109/access.2021.3087172,Detecting Crowdsourcing Impasses,2021,B,IEEE Access,v1:IEEE Access,10,10,1.0,
W3167406762,10.1007/s10664-021-09978-0,Exposed! A case study on the vulnerability-proneness of Google Play Apps,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3169486253,10.1007/978-3-030-79108-7_4,Sensor Data Stream Selection and Aggregation for the Ex Post Discovery of Impact Factors on Process Outcomes,2021,B,Lecture notes in business information processing,v1:Lecture notes in business information processing,33,33,1.0,
W3171707163,10.1007/s10664-021-09972-6,Reliability of self-rated experience and confidence as predictors for students’ performance in software engineering,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3171984595,10.1145/3468877,Privacy and Confidentiality in Process Mining: Threats and Research Challenges,2021,B,ACM Transactions on Management Information Systems,v1:ACM Transactions on Management Information Systems,1,1,1.0,
W3176226112,10.1007/s10664-021-09984-2,Weighted software metrics aggregation and its application to defect prediction,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3176556934,10.1016/j.im.2021.103501,Impact of enjoyment on the usage continuance intention of video-on-demand services,2021,A,Information & Management,v1:Information & Management,20,20,1.0,
W3179705199,10.13140/rg.2.2.16036.19848,Creating Unbiased Public Benchmark Datasets with Data Leakage Prevention for Predictive Process Monitoring,2021,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3181722895,10.1109/access.2021.3096513,A Machine Learning Based Approach for Recommending Unfamiliar Process Activities,2021,B,IEEE Access,v1:IEEE Access,10,10,1.0,
W3183583632,,Interpreting Process Predictions using a Milestone-Aware Counterfactual Approach,2021,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3184174269,10.48550/arxiv.2107.09767,Explainable AI Enabled Inspection of Business Process Prediction Models,2021,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3185574546,10.1002/qre.2957,Predictive monitoring using machine learning algorithms and a real‐life example on schizophrenia,2021,B,Quality and Reliability Engineering International,v1:Quality and Reliability Engineering International,1,1,1.0,
W3186154954,10.1016/j.dss.2021.113651,A text-mining based cyber-risk assessment and mitigation framework for critical analysis of online hacker forums,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3186922658,10.1007/s10664-021-09967-3,Finding the sweet spot for organizational control and team autonomy in large-scale agile software development,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3190848024,10.1016/j.is.2021.101866,Caught in a networked collusion? Homogeneity in conspiracy-related discussion networks on YouTube,2021,A,Information Systems,v1:Information Systems,82,82,1.0,
W3193772290,10.1007/s10696-021-09430-x,AI for in-line vehicle sequence controlling: development and evaluation of an adaptive machine learning artifact to predict sequence deviations in a mixed-model production line,2021,B,Flexible Services and Manufacturing Journal,v1:Flexible Services and Manufacturing Journal,1,1,1.0,
W3195687240,10.48550/arxiv.2105.01092,Process Model Forecasting Using Time Series Analysis of Event Sequence\n Data,2021,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,
W3195843447,10.1016/j.dss.2021.113653,AI-based industrial full-service offerings: A model for payment structure selection considering predictive power,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,
W3195958055,10.1007/s10664-021-09996-y,Predicting unstable software benchmarks using static source code features,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,
W3196523473,10.3390/info12090362,Dynamic Adaptation Method of Business Process Based on Hierarchical Feature Model,2021,B,Information,v1:Information,2,2,1.0,
W3196981326,10.1007/s12599-021-00720-0,Opportunities and Challenges for Process Mining in Organizations: Results of a Delphi Study,2021,B,Business & Information Systems Engineering,v1:Business & Information Systems Engineering,7,7,1.0,
