oa_id,doi,title,year,frame,venue,stratum,N_h,n_h,weight,cited,n_chars,n_sents,n_pages,status,status_registered,screen_quote,screen_page,B_stated,B_stated_quote,B_stated_page,B_justified,B_justified_quote,B_justified_page,M_justified,M_justified_quote,M_justified_page,Theta_stated,Theta_stated_quote,Theta_stated_page,Range_reported,Range_reported_quote,Range_reported_page,B_stated_B,B_justified_B,M_justified_B,Theta_stated_B,Range_reported_B,applic_register,applic_evidence
W2941068928,10.1007/s10664-019-09694-w,Classifying code comments in Java software systems,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,98870.0,760.0,39.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2941394980,10.1007/s10664-019-09706-9,Towards understanding and detecting fake reviews in app stores,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,121752.0,1280.0,40.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2941755106,,Predictive and prescriptive monitoring of business process outcomes,2019,B,DSpace repository (University of Tartu),v1:DSpace repository (University of Tartu),1,1,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2944885770,10.1007/s10664-019-09714-9,Effects of measurements on correlations of software code metrics,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,116212.0,966.0,55.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2945788444,10.1007/s10115-021-01633-w,"Fire now, fire later: alarm-based systems for prescriptive process monitoring",2021,B,Knowledge and Information Systems,v1:Knowledge and Information Systems,6,6,1.0,,81699.0,693.0,29.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2946009226,10.1007/s10664-019-09739-0,Improving change prediction models with code smell-related information,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2946929989,10.1007/s10664-020-09853-4,Automating system test case classification and prioritization for use case-driven testing in product lines,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,173591.0,1597.0,58.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2947765183,10.1007/978-3-030-21290-2_34,Proactive Process Adaptation Using Deep Learning Ensembles,2019,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,,45289.0,463.0,16.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2948645509,10.1016/j.dss.2019.05.008,Agent-level determinants of price expectation formation in online double-sided auctions,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,90101.0,820.0,36.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2951484092,10.1016/j.dss.2019.113075,Using social network and semantic analysis to analyze online travel forums and forecast tourism demand,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,77900.0,636.0,35.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2953798551,10.1007/s10664-019-09726-5,Empirical comparison of text-based mobile apps similarity measurement techniques,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,88509.0,689.0,26.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2954440353,10.1016/j.is.2019.101483,Two-stage optimization for machine learning workflow,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,53576.0,500.0,30.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2955950342,10.1007/s10664-019-09716-7,Mining non-functional requirements from App store reviews,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2956440216,10.1016/j.is.2019.101479,Detecting coherent explorations in SQL workloads,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,81058.0,702.0,34.0,INCLUDED,INCLUDED,"To select the most correlated features, we ordered the features by the absolute value of the correlation coeﬃcient, we train the classiﬁer iteratively adding the features while F-measure and accuracy scores increase, and stop when the scores no more improve.",28.0,unclear,Section 4 details the features considered and how they are extracted.,3.0,no,,0.0,yes,"However, such baseline would have 0 as F-measure, since recall will be 0.",25.0,unclear,", common fragments) as absolute values (normalized with a given threshold).",19.0,no,,0.0,unclear,no,no,unclear,no,yes,SkyServer is an Internet portal to the Sloan Digital Sky Survey Catalog Archive Server; its Web and SQL logs are public [21].
W2956885731,10.1016/j.dss.2019.113097,Deep learning for decision making and the optimization of socially responsible investments and portfolio,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2957490530,10.1016/j.is.2019.07.002,Understanding and improving ontology reasoning efficiency through learning and ranking,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,110250.0,1000.0,17.0,INCLUDED,INCLUDED,"Table 10 Summary of mean reasoning performance (in seconds) comparison between AutoFolio and R2O2*(all) (R2O2*(all), both with and without ELK).",13.0,no,,0.0,no,,0.0,no,,0.0,no,,0.0,no,,0.0,unclear,no,unclear,no,no,yes,"cy through learning and ranking Yong-Bin Kang a, Shonali Krishnaswamy a, Wudhichart Sawangphol b, Lianli Gao c, Yuan-Fang Li d,∗ a Department of Computer Science and Software Engineering, Swinburne University of Technology, Australia b Faculty of Information and Communication Technology, Mahidol University, Thailand c School of Computer Science and Engineering, The University of Electronic Science"
W2960048287,10.1016/j.dss.2019.113100,Forecasting remaining useful life: Interpretable deep learning approach via variational Bayesian inferences,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,77135.0,583.0,33.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2961549118,10.48550/arxiv.1905.10173,What if Process Predictions are not followed by Good Recommendations? (Technical Report),2019,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,,44375.0,433.0,15.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2969930394,10.1007/978-3-030-26643-1_5,Predicting Critical Behaviors in Business Process Executions: When Evidence Counts,2019,B,Lecture notes in business information processing,v1:Lecture notes in business information processing,33,33,1.0,,51693.0,458.0,19.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2970198659,10.1007/s10664-019-09758-x,What kind of questions do developers ask on Stack Overflow? A comparison of automated approaches to classify posts into question categories,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,115230.0,954.0,44.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2970732649,10.1016/j.im.2019.103198,"IT centrality, IT management model, and contribution of the IT function to organizational performance: A study in Canadian hospitals",2019,A,Information & Management,v1:Information & Management,20,20,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2979389171,10.1016/j.is.2019.101444,Speed prediction in large and dynamic traffic sensor networks,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2980838074,10.1016/j.dss.2019.113132,Veracity assessment of online data,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2982284349,10.1016/j.is.2019.101458,BINet: Multi-perspective business process anomaly classification,2019,A,Information Systems,v1:Information Systems,82,82,1.0,,63936.0,605.0,25.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2986478207,10.1007/s10664-019-09769-8,Recognizing lines of code violating company-specific coding guidelines using machine learning,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,118754.0,942.0,46.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2986485804,10.1016/j.im.2019.103220,Robot acceptance model for care (RAM-care): A principled approach to the intention to use care robots,2019,A,Information & Management,v1:Information & Management,20,20,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2989213133,10.1016/j.knosys.2020.106557,Business process variant analysis: Survey and classification,2020,B,Knowledge-Based Systems,v1:Knowledge-Based Systems,2,2,1.0,,106438.0,974.0,29.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2995454814,10.1007/s10664-019-09778-7,Selecting fault revealing mutants,2019,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,148647.0,1255.0,54.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2995630456,10.1016/j.dss.2019.113232,Leveraging fine-grained transaction data for customer life event predictions,2019,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W2996338620,,Interpreting Predictive Process Monitoring Benchmarks.,2019,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,,38855.0,273.0,15.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W2998979401,10.1016/j.is.2020.101494,Improving malicious URLs detection via feature engineering: Linear and nonlinear space transformation methods,2020,A,Information Systems,v1:Information Systems,82,82,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3001004827,10.1016/j.is.2020.101505,On the declarative paradigm in hybrid business process representations: A conceptual framework and a systematic literature study,2020,A,Information Systems,v1:Information Systems,82,82,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3004233219,10.1007/s10664-020-09933-5,An automated framework for the extraction of semantic legal metadata from legal texts,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,121936.0,1070.0,38.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3004570974,10.1007/s10664-019-09781-y,How bugs are born: a model to identify how bugs are introduced in software components,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,150588.0,1249.0,47.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3004721071,10.1016/j.dss.2020.113260,A new emergency decision support system: the automatic interpretation and contextualisation of events to model a crisis situation in real-time,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3007484883,10.1007/s10664-019-09791-w,Deriving a usage-independent software quality metric,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,124324.0,980.0,41.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3010543401,10.1016/j.dss.2020.113271,Longitudinal healthcare analytics for disease management: Empirical demonstration for low back pain,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3012780693,10.1007/s12599-020-00646-z,Seven Paradoxes of Business Process Management in a Hyper-Connected World,2020,B,Business & Information Systems Engineering,v1:Business & Information Systems Engineering,7,7,1.0,,65818.0,446.0,12.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3013291592,10.1007/978-3-030-58666-9_14,Predictive Business Process Monitoring via Generative Adversarial Nets: The Case of Next Event Prediction,2020,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,,49847.0,481.0,16.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3014109009,10.1016/j.dss.2020.113290,Employees recruitment: A prescriptive analytics approach via machine learning and mathematical programming,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3015702715,10.1016/j.is.2020.101524,"Winter is here! A decade of cache-based side-channel attacks, detection & mitigation for RSA",2020,A,Information Systems,v1:Information Systems,82,82,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3015851278,10.1007/s12599-020-00645-0,Machine Learning in Business Process Monitoring: A Comparison of Deep Learning and Classical Approaches Used for Outcome Prediction,2020,B,Business & Information Systems Engineering,v1:Business & Information Systems Engineering,7,7,1.0,,74586.0,641.0,16.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3016381677,10.1007/s10664-020-09818-7,How software engineering research aligns with design science: a review,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,92730.0,693.0,31.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3016717485,10.1007/s10664-020-09814-x,Using machine learning to assist with the selection of security controls during security assessment,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,93944.0,788.0,31.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3022806883,10.48550/arxiv.2005.01194,An empirical comparison of deep-neural-network architectures for next activity prediction using context-enriched process event logs,2020,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,,70164.0,609.0,34.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3024356476,10.1007/s10664-020-09878-9,On the time-based conclusion stability of cross-project defect prediction models,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,108119.0,752.0,39.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3025560490,10.1016/j.is.2020.101557,DMAKit: A user-friendly web platform for bringing state-of-the-art data analysis techniques to non-specific users,2020,A,Information Systems,v1:Information Systems,82,82,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3025918553,10.1016/j.dss.2020.113320,Uplift Modeling for preventing student dropout in higher education,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,65741.0,572.0,24.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3028200206,10.1007/s10664-020-09837-4,Do code review measures explain the incidence of post-release defects?,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,90287.0,873.0,34.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3029464237,10.1016/j.dss.2020.113325,Predicting student dropout in subscription-based online learning environments: The beneficial impact of the logit leaf model,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3034076354,10.1007/978-3-030-65310-1_31,Exploring Interpretability for Predictive Process Analytics,2020,B,Lecture notes in computer science,v1:Lecture notes in computer science,12,12,1.0,,38855.0,273.0,15.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3042043441,10.1186/s12911-020-1111-6,Using predictive process monitoring to assist thrombolytic therapy decision-making for ischemic stroke patients,2020,B,BMC Medical Informatics and Decision Making,v1:BMC Medical Informatics and Decision Making,2,2,1.0,,45231.0,378.0,10.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3042580419,10.1016/j.is.2020.101635,Cause vs. effect in context-sensitive prediction of business process instances,2020,A,Information Systems,v1:Information Systems,82,82,1.0,,71370.0,608.0,28.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3043662032,10.1007/s10664-020-09834-7,Standing on shoulders or feet? An extended study on the usage of the MSR data papers,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,126113.0,1115.0,35.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3043882153,10.1007/s10664-021-09945-9,Predictors of well-being and productivity among software professionals during the COVID-19 pandemic – a longitudinal study,2021,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,173310.0,1576.0,63.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3044618224,10.1016/j.is.2020.101604,Fragments of bag relational algebra: Expressiveness and certain answers,2020,A,Information Systems,v1:Information Systems,82,82,1.0,,83839.0,805.0,14.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3045116697,10.1016/j.dss.2020.113366,Three-stage reject inference learning framework for credit scoring using unsupervised transfer learning and three-way decision theory,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3046226113,10.11606/d.100.2020.tde-02122019-150538,Tratamento do impacto de casos >i /i< em predição de tempo de resolução usando mineração de processos com múltiplos atributos,2020,B,,v1:nan,16,16,1.0,,186104.0,1262.0,103.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3046672418,10.1007/s10664-020-09868-x,On the need of preserving order of data when validating within-project defect classifiers,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,81982.0,724.0,26.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3047535465,10.1007/s10664-020-09854-3,Wait for it: identifying “On-Hold” self-admitted technical debt,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,81913.0,668.0,29.0,INCLUDED,INCLUDED,"To measure the effect of rebalancing on our classification, we compare the performance of N-gram TF-IDF with and without Stratified ShuffleSplit.",19.0,unclear,Table 9 shows the top features from N-gram TF-IDF ranked by how frequently our classifier uses them to distinguish on-hold comments from other self-admitted technical debt comments.,19.0,no,,0.0,no,,0.0,unclear,The receiver operating characteristic curve is created by plotting the true positive rate (TPR) against the false positive rate (FPR) at various threshold settings.,18.0,no,,0.0,unclear,no,no,unclear,no,yes,1 Columba 0 – EMF 1 // Note: Registry based authority is being removed .
W3048310814,10.1016/j.dss.2021.113511,A technique for determining relevance scores of process activities using graph-based neural networks,2021,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,62681.0,560.0,26.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3049497371,10.1007/s10664-020-09886-9,How does code readability change during software evolution?,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3051849431,10.1007/s10664-020-09856-1,Data-driven software design with Constraint Oriented Multi-variate Bandit Optimization (COMBO),2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,111491.0,994.0,32.0,NO_METRIC,NO_METRIC,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3079499560,10.1007/s10664-020-09861-4,On the assessment of software defect prediction models via ROC curves,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,129461.0,1081.0,43.0,INCLUDED,INCLUDED,"ROC curves (with and without AUC) have also been used in Empirical Software Engineering studies to find optimal thresholds t for fn(z,t) to build a defect prediction model.",30.0,no,,0.0,no,,0.0,yes,"AUC provides a spurious assessment of the performance of the defect proneness models, because it is based even on parts of the ROC space that are not of interest for the software manager.",26.0,yes,", suppose that a false negative is 9 times as expensive as a false positive.",17.0,unclear,"Appendix C details how these borders behave for each metric when k, c, and p change.",15.0,no,no,no,yes,no,no,
W3080268723,10.48550/arxiv.2008.10748,"An empirical investigation of different classifiers, encoding and ensemble schemes for next event prediction using business process event logs",2020,B,arXiv (Cornell University),v1:arXiv (Cornell University),15,15,1.0,,103087.0,807.0,34.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3080457607,10.1007/s10664-021-10068-4,Revisiting process versus product metrics: a large scale analysis,2022,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,113166.0,1076.0,43.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3081858831,10.1016/j.dss.2020.113398,Improving healthcare access management by predicting patient no-show behaviour,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,77200.0,635.0,26.0,NO_ABLATION,NO_ABLATION,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3083147251,10.1007/978-3-030-58638-6_9,Explainability in Predictive Process Monitoring: When Understanding Helps Improving,2020,B,Lecture notes in business information processing,v1:Lecture notes in business information processing,33,33,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3084167926,10.3390/data5030082,Extraction of Missing Tendency Using Decision Tree Learning in Business Process Event Log,2020,B,Data,v1:Data,1,1,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3084301791,10.1007/s10664-020-09864-1,Automated demarcation of requirements in textual specifications: a machine learning-based approach,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,130637.0,1078.0,44.0,NO_ABLATION,INCLUDED,,0.0,,,,,,,,,,,,,,,,,,,,,,
W3084420001,10.1016/j.dss.2020.113401,Forecasting demand profiles of new products,2020,A,Decision Support Systems,v1:Decision Support Systems,101,101,1.0,,,,,NO_FULLTEXT,,,,,,,,,,,,,,,,,,,,,,,,,
W3086800606,10.1007/s10664-020-09885-w,On the feasibility of automated prediction of bug and non-bug issues,2020,A,Empirical Software Engineering,v1:Empirical Software Engineering,188,188,1.0,,104396.0,889.0,37.0,INCLUDED,INCLUDED,In terms of recall and precision the differences between training with and without validation are similar.,27.0,no,,0.0,no,,0.0,yes,"Moreover, we observe that all other approaches are all equal to or worse than trivially predicting everything as bug in the mean F1 score, because of a low recall.",23.0,unclear,"For this scenario, we decide on a fixed cutoff date for the training data.",19.0,unclear,"This way, we get a single model for each baseline, as well as for our approach, that we determined works best on the CV data.",17.0,no,no,no,no,no,no,
