oa_id,doi,title,year,frame,venue,include_quote_amd,include_page_amd,screen,B_stated,B_stated_quote,B_stated_pdf_page,B_stated_reg,B_stated_B,B_justified,B_justified_quote,B_justified_pdf_page,B_justified_reg,B_justified_B,M_justified,M_justified_quote,M_justified_pdf_page,M_justified_reg,M_justified_B,Theta_stated,Theta_stated_quote,Theta_stated_pdf_page,Theta_stated_reg,Theta_stated_B,Range_reported,Range_reported_quote,Range_reported_pdf_page,Range_reported_reg,Range_reported_B
W3198564768,10.1007/s10115-022-01666-9,How do I update my model? On the resilience of Predictive Process Monitoring models to change,2022,B,Knowledge and Information Systems,"The evaluation focuses on the performance of the new learned predictive models, in terms of accuracy and time, against the original one, and uses a number of real and synthetic datasets with and without explicit Concept Drift.",1.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,yes,unclear,The ROC curve is a graphical plot that illustrates the diagnostic ability of a binary classifier system as its discrimination threshold is varied.,13.0,unclear,unclear,no,,0.0,no,no
W4200151996,10.1016/j.is.2021.101957,Data pre-processing pipeline generation for AutoETL,2021,A,Information Systems,"383 Next, only N appears as ﬁrst for RF and second best for KNN and NB, which means that 384 for many datasets, considering diﬀerent algorithms, it results better to apply only Normalization 385 without combining it with Feature Engineering.",13.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,yes,no,no,,0.0,no,no,yes,"We provide an ini37 tial budget of 50 iterations for optimizing the hyper-parameters of the algorithms, and after the 50th 38 iteration, we ﬁx the algorithm conﬁguration to the best one achieved so far and start optimizing the pre39 processing pipeline2.",2.0,yes,unclear,no,,0.0,no,no
W4206583545,10.1016/j.dss.2021.113728,Fraudulent review detection model focusing on emotional expressions and explicit aspects: investigating the potential of feature engineering,2022,A,Decision Support Systems,"algorithm Review Gap Review Count Irrelevant characters removing Rating Entropy Rating Deviation Time of Review Text data Pre-processing on Yelp Data set Rules-based classification models (based on list of features) to identify the opinion spammers, who contribute the most fake reviews in entire dat",9.0,INCLUDED,unclear,"643 To further validate our next hypothesis (H2), Table 8 results show the performance of top five ML models developed using all features (review- and reviewer-centric) and reviewcentric features, and Table 10 shows the t-test results comparing the accuracy of the top five ML classifiers when combin",27.0,yes,unclear,no,,0.0,no,no,no,,0.0,yes,no,unclear,We then take the average performance of the particular ML model on each partition and use it to measure the average F-1 score and AUC with the best threshold or hyper parameter for all runs.,24.0,unclear,unclear,no,,0.0,no,no
W4221051771,10.1007/s10664-022-10126-5,On the adequacy of static analysis warnings with respect to code smell prediction,2022,A,Empirical Software Engineering,"In particular, we exploited the output of the Gain Information algorithm—used in the context of RQ2—to discard irrelevant features that could bias the interpretation of the models (Tantithamthavorn and Hassan 2018): we did that by excluding the features not providing any information gain.",14.0,INCLUDED,yes,"Hence, we decided to devise a baseline machine learning technique that uses code metrics as predictors.",16.0,yes,no,no,,0.0,yes,no,no,,0.0,no,no,yes,"As such, our choice made the findings more reliable—we did not include in our ground-truth false positives and negatives—at the cost of having less systems analyzed: we are aware of this possible limitation and we plan indeed to conduct larger-scale analyses as part of our future research agenda.",37.0,yes,unclear,no,,0.0,no,no
W4223983178,10.1007/s10664-021-10075-5,What happens in my code reviews? An investigation on automatically classifying review changes,2022,A,Empirical Software Engineering,"To mitigate this bias, we applied the following techniques: (1) We performed features selection, evaluating the contribution of each feature both in terms of gain ratio and Pearson’s correlation with the class to be predicted; (2) We oversampled the minority class using SMOTE, applying it only on th",36.0,INCLUDED,yes,This leads us to exclude the following features from our model: method word (corr.,20.0,yes,unclear,no,,0.0,yes,no,no,,0.0,no,no,yes,"(Elkan 2001): we assigned different cost weights to false positive and negatives of functional instances, thus testing the model with different cost matrix configurations.",23.0,yes,yes,no,,0.0,no,no
W4294192778,10.1016/j.dss.2022.113866,CATCHM: A novel network-based credit card fraud detection method using node representation learning,2022,A,Decision Support Systems,All techniques outperformed the baseline both with and without RFM features.,26.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,unclear,yes,"A threshold-dependent metric suitable for fraud detection is the F1 score, which is the harmonic mean of precision and recall (see Equation 3).",20.0,yes,yes,no,,0.0,no,no
W4296311716,10.1016/j.is.2022.102123,A meta-learning configuration framework for graph-based similarity search indexes,2022,A,Information Systems,"Either for only adding meta-features or for only adding meta-instances from new datasets, the improvement in the R2 score is evident.",20.0,INCLUDED,unclear,Table 1 Summary of the attributes composing the meta-dataset built in this work.,9.0,unclear,no,no,,0.0,yes,no,yes,"For recall, the meta-models using Pearson and RF achieved almost the same performance because most of the selected meta-features were the same while the results were wretched using PCA.",20.0,yes,no,unclear,"The Range query is defined as Rq(δ, sq, ξ) = {si ∈S|δ(sq, si) ≤ξ}, where S ⊆S is a dataset in complex data domain S, sq ∈S is a reference (or query) element, δ is a distance function defined in S, and ξ ∈R+ is a distance threshold.",3.0,unclear,unclear,no,,0.0,no,no
W4309389067,10.1007/s10664-022-10229-z,Workflow analysis of data science code in public GitHub repositories,2022,A,Empirical Software Engineering,"html 13For feature ablation study, we utilise the validation set as training samples as well.",22.0,INCLUDED,unclear,71 2501 Results: Table 11 shows the performance over different sizes of feature vector.,29.0,yes,yes,no,,0.0,no,no,yes,"Since we use a total of ten classification labels in multi-label classification, we expected the subset accuracy to be less as it is a harsh metric.",26.0,yes,no,unclear,"Using a trial, we set the threshold for document frequency at a maximum of 0.",22.0,yes,unclear,no,,0.0,no,unclear
W4318822511,10.1016/j.im.2023.103759,Will they take this offer? A machine learning price elasticity model for predicting upselling acceptance of premium airline seating,2023,A,Information & Management,"However, in our initial trials, naïvely including such attributes sparsified the segmentation and reduced the accuracy.",7.0,INCLUDED,unclear,"As discussed below in Table 2 (Results of feature embedding analysis), our embedding algorithm out­ performs other approaches.",5.0,unclear,unclear,no,,0.0,no,no,no,,0.0,no,no,unclear,Typical approaches apply a regression model and a carefully chosen threshold to determine whether to buy based on estimated price increases.,2.0,yes,yes,no,,0.0,no,no
W4320883647,10.1016/j.dss.2023.113940,A decision support framework to incorporate textual data for early student dropout prediction in higher education,2023,A,Decision Support Systems,"When we compare the predictive performance of these two models for each particular group of students, with and without textual feedback, the results in Table 5 further indicate that the models trained with the full structured data, Mod_FD_S_testT (AUC = 0.",26.0,INCLUDED,unclear,Table 2 presents an overview of all variables in the data set.,23.0,yes,unclear,no,,0.0,no,no,unclear,"The AUC is a common evaluation metric for binary classification and is popular in student dropout prediction literature [2,8,69].",24.0,unclear,unclear,no,,0.0,no,unclear,no,,0.0,no,unclear
W4367316222,10.1007/s10664-023-10307-w,Empirically evaluating flaky test detection techniques combining test case rerunning and machine learning models,2023,A,Empirical Software Engineering,This is to observe the effect of dropping the less impactful features on the performance of the model.,25.0,INCLUDED,unclear,Table 1 offers a description of all 18 features.,8.0,unclear,unclear,no,,0.0,no,no,yes,"We selected MCC as the overall performance metric, as opposed to F1 score, because it only produces a high value if the model performs well in terms of all four confusion matrix categories, whereas F1 score ignores true-negatives (Chicco and Jurman 2020).",13.0,yes,no,unclear,CANNIER assigns a positive predicted label to a test case if this probability is above an upper threshold and a negative predicted label if it is below a lower threshold.,7.0,yes,unclear,no,,0.0,no,no
W4385212557,10.1109/access.2023.3298305,MTLFormer: Multi-Task Learning Guided Transformer Network for Business Process Prediction,2023,B,IEEE Access,"Moreover, we conduct the ablation experiments with multi-task learning and the Transformer network as the baseline.",9.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,yes,unclear,", the difference between each model parameter W does not exceed a certain threshold.",6.0,unclear,unclear,no,,0.0,no,no
W4386315295,10.1007/978-3-031-41620-0_18,Interactive Multi-interest Process Pattern Discovery,2023,B,Lecture notes in computer science,Adding pairwise interplay terms between all variables in models did not improve R-squared.,456.0,INCLUDED,unclear,"As illustrated in Table 1, the Categorical Event Feature log concept can be represented by means of four diﬀerent representation types.",187.0,yes,unclear,no,,0.0,yes,unclear,no,,0.0,no,unclear,unclear,"Alternatively, for a generic application of the framework, we implement IDENc by introducing an overlapping threshold t ∈R, where 0 ≤t < 1.",80.0,yes,unclear,no,,0.0,no,no
W4389337815,10.1007/s10664-023-10374-z,Assessing the utility of text-to-SQL approaches for satisfying software developer information needs,2023,A,Empirical Software Engineering,Empirical Software Engineering (2024) 29:15 Answer to RQ2 RQ2 aimed at evaluating performance differences when training our models with and without SE-speciﬁc data.,24.0,INCLUDED,no,,0.0,no,no,no,,0.0,yes,no,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,no
W4389625424,10.1007/s10664-023-10408-6,On the adoption and effects of source code reuse on defect proneness and maintenance effort,2023,A,Empirical Software Engineering,"When considering the binary defect prediction scenario, the performance achieved was close to 94% in terms of F-Measure both when considering the models with and without inheritance and delegation metrics.",29.0,INCLUDED,unclear,"With respect to the control variables considered in the study, it is important to discuss the role of NOC and DIT.",12.0,yes,unclear,yes,"The independent variables and control variables are reported on the rows, while the various considered systems are reported on the columns—empty cells indicate that a certain variable was removed from the analysis of a speciﬁc system as a consequence of the multicollinearity analysis, while the numb",18.0,yes,no,no,,0.0,no,no,no,,0.0,no,no,unclear,"Since the metrics were computed on the ﬁles modiﬁed within the considered commits, we aggregated them to have a unique commit-level value for each metric.",28.0,unclear,no
W4390141881,10.1016/j.is.2023.102342,Is text preprocessing still worth the time? A comparative survey on the influence of popular preprocessing methods on Transformers and traditional classifiers,2023,A,Information Systems,"Since there were substantial changes in performance outcomes between the model with and without text preprocessing, the authors suggest that future studies should examine the impact of each text preprocessing step.",3.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no
W4391092733,10.1109/tai.2024.3357041,Why Should I Trust Your Explanation? An Evaluation Approach for XAI Methods Applied to Predictive Process Monitoring Results,2024,B,IEEE Transactions on Artificial Intelligence,"Features in the core have more predictive power compared to the remaining features, while excluded features are assumed to have less potential to improve the accuracy of a predictive model.",6.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,yes,"6 Event log (1) Apply different feature selection (FS) methods (2) Compute scores statistics FS2 FSn FS1 FS methods (3) Compute threshold (**) simple thresholding adjustable thresholding (4) Compute reducts (Min, max of mean scores) (5) Compute core & a representative reduct Reduct (FS1) Reduct (FSn",6.0,yes,unclear,no,,0.0,no,no
W4392021591,10.1007/s10664-023-10405-9,Analyzing source code vulnerabilities in the D2A dataset with ML ensembles and C-BERT,2024,A,Empirical Software Engineering,"On this biased sample set, the accuracy with and without the auto-labeler is 53% and 35% respectively.",14.0,INCLUDED,unclear,Table 5 lists the features we extract from bug reports.,16.0,yes,unclear,no,,0.0,yes,yes,yes,Once this threshold-point is chosen we also present F1-score as the average of each class F1-score since our goal is to reduce the number of false positives while preserving the real ones.,18.0,yes,no,yes,"distribution of the vulnerable mentions, CMA identiﬁes the category of the vulnerability and ranks commits based on conﬁdence scores, with a threshold set to 0.",10.0,yes,unclear,no,,0.0,no,no
W4392471232,10.1007/s10664-023-10436-2,Machine learning-based test smell detection,2024,A,Empirical Software Engineering,We performed an ablation study to analyze the contribution of each conﬁguration and training step to the overall models’ performance.,15.0,INCLUDED,unclear,Table 4 lists and describes each considered test smell and the independent variables taken into account for each smell under investigation.,14.0,yes,no,no,,0.0,yes,no,no,,0.0,no,no,unclear,A test is marked as smelly if the value overcomes a threshold.,2.0,unclear,unclear,no,,0.0,no,unclear
W4396746070,10.1007/s10664-024-10455-7,Just-in-Time crash prediction for mobile apps,2024,A,Empirical Software Engineering,"Finally, an ablation analysis was conducted to understand the contribution of each metric type to the performance outcomes.",38.0,INCLUDED,unclear,"Thus, the dependent variable used in our models is whether a commit is crash-inducing (Y = 1) or whether a commit is non-crash-inducing (Y = 0).",11.0,unclear,unclear,yes,"As such, we exclude other types of issues such as non-crash defects, enhancements, and feature additions.",11.0,yes,no,yes,"AUC: Beyond the above measures, we use AUC (Area Under the Receiver Operating Characteristic Curve) since this measure is not impacted by highly imbalanced datasets (Trautsch et al.",24.0,yes,no,yes,"AUC score is used to get an overall idea of the performance of the model across thresholds since precision, and recall depend on the 22 https://​scikit-​learn.",24.0,yes,unclear,no,,0.0,no,no
W4400843015,10.1016/j.is.2024.102432,LS-ICE: A Load State Intercase Encoding framework for improved predictive monitoring of business processes,2024,A,Information Systems,"To assess the benefits of the intercase features generated using the LS-ICE framework, we compare the performance of predictive process monitoring models constructed using the encoded features against baseline models without these features.",2.0,INCLUDED,yes,"Different feature vectors will be considered when constructing these LSTMs, including feature vectors that contain intercase features encoded using the proposed framework and three baseline feature vectors that do not include these features.",16.0,yes,unclear,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no
W4400888954,10.1007/s10664-024-10515-y,Towards Exploring the Limitations of Test Selection Techniques on Graph Neural Networks: An Empirical Study,2024,A,Empirical Software Engineering,_####_ Page 22 of 41 Empirical Software Engineering (2024) 29 _#####################_ Table 4 Effectiveness of accuracy estimation approaches with respect to random selection (baseline) in terms of RMSE Approach Data Model GMM Hierarchical K-Means K-Means Plus MiniBatch K-Means GCN 0.,22.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no
W4401669391,10.1007/s10664-024-10463-7,The best ends by the best means: ethical concerns in app reviews,2024,A,Empirical Software Engineering,The performance scores of the ﬁve evaluated classiﬁers with and without SMOTE (see Section 2.,19.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no
W4407809720,10.1007/s10664-025-10617-1,Hold on! is my feedback useful? evaluating the usefulness of code review comments,2025,A,Empirical Software Engineering,"Regarding usefulness prediction models, only recent commercial GPT-4o and then tailored preprocessing-based Bag-of-Word with TF-IDF model outperforms all previous and existing models with the largest margins without code changes or other aspects of features.",35.0,INCLUDED,yes,"For setting baseline scores, we use the classifiers as they are in their respective artifacts/papers, and we utilize the available input features.",18.0,yes,unclear,no,,0.0,no,unclear,no,,0.0,no,no,unclear,"Unlike p-values, effect size, and correlation measures, the importance scores lack interpretable threshold values.",12.0,unclear,unclear,no,,0.0,no,no
W4408464377,10.1007/s13218-025-00887-8,Predictive Process Monitoring for Airport Operational Support,2025,B,K&uuml;nstliche Intell.,"As can be seen, including intercase features resulted in a minimal but general performance increase for both prediction tasks.",8.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,unclear,no,,0.0,no,unclear
W4410172493,10.1007/s10664-025-10659-5,A comparative study on reward models for user interface adaptation with reinforcement learning,2025,A,Empirical Software Engineering,"However, we introduced a third system without any adaptive features (nonadaptive, NA) to serve as a baseline for assessing the improvement in UX compared to the adaptive UIs.",16.0,INCLUDED,no,,0.0,no,unclear,no,,0.0,no,no,no,,0.0,no,no,unclear,The questionnaires were considered to be reliable if the overall coefﬁcient exceeded the acceptable minimum threshold (α ≥0.,23.0,yes,unclear,no,,0.0,no,no
W4412431056,10.1016/j.engappai.2025.111387,Outcome-oriented local explanation using context-aware process patterns,2025,B,Engineering Applications of Artificial Intelligence,"Inspired by ablation studies, the aim of this analysis is to determine how the inclusion of the different types of process context, either within the context-aware patterns (FCP, DCP) or the feature vector (CALL), impacts the fidelity of the surrogate model.",9.0,INCLUDED,unclear,"From the features selected by RFECV, discriminative rules are generated using the refined DT model and are encapsulated in .",7.0,yes,unclear,no,,0.0,no,no,no,,0.0,yes,no,unclear,", ≤, ≥, =, ≠) • 𝜔𝑖 is the value or threshold that feature 𝑖 is compared against • 𝑐𝑗∈ is the associated outcome for rule  Definition 6 (Process Pattern).",5.0,unclear,unclear,no,,0.0,no,yes
W4414915885,10.1007/s10664-025-10706-1,Ecosystem-wide influences on pull request decisions: insights from NPM,2025,A,Empirical Software Engineering,"To evaluate the predictive strength of groups of variables, an inverse ablation study was performed (i.",15.0,INCLUDED,unclear,"Table 1 overviews the variables included in this study, which are the principal factors reported by Zhang et al.",6.0,unclear,unclear,yes,We omitted one recommended variable regarding continuous integration because it is difficult to collect this data.,33.0,yes,no,no,,0.0,no,no,unclear,"Outliers were removed using Cook’s distance (Cook 2000), filtering data points that affect regression coefficients disproportionally, using a cut-off threshold of 4/(n −k −1), where Table 3 Overview of the contribution and collaboration variables used to answer RQ1-4 Name Description Contribution va",14.0,yes,unclear,no,,0.0,no,unclear
W4417322414,10.1007/s10664-025-10771-6,Anticipating bugs: Ticket-level bug prediction and temporal proximity effects,2025,A,Empirical Software Engineering,"Finally, it is important to note that IGR evaluates a feature’s predictive power inde­ pendently, without considering interactions with other features.",14.0,INCLUDED,unclear,"As an example of feature from this family, we assess the internal quality of the code by counting the number of rule violations detected by PMD Table 2 TLP features for code (C) family Name CodeName Reference Availability Number of smells code_quality-smells_count Cairo et al.",6.0,yes,unclear,yes,"Regarding Table 15, we note that the analysis has excluded many features since they are not measurable in a specific proximity point.",19.0,yes,no,no,,0.0,yes,no,no,,0.0,no,unclear,no,,0.0,no,no
W4417461554,10.1007/s12599-025-00969-9,From Source to Target: Leveraging Transfer Learning for Predictive Process Monitoring in Organizations,2025,B,Business & Information Systems Engineering,"For the fourth evaluation, in which we assessed the effect of the proposed relative cross-domain approach for timestamp encoding on the prediction performance, we employed two different baseline approaches.",20.0,INCLUDED,no,,0.0,no,no,no,,0.0,no,no,no,,0.0,no,no,unclear,"Among these ML metrics, we choose the AUCROC as the primary metric because it is independent of the threshold, which, therefore, allows for a more holistic evaluation of the models’ prediction performance.",19.0,unclear,unclear,no,,0.0,no,no
